3990;0.0000000;0.0000000;0.0000000
4000;0.0150428;0.0030840;0.0034970
4100;0.1039736;0.0113570;0.0103892
4200;0.4892935;0.0388725;0.0238270
4300;0.7202255;0.0575395;0.0277668
4400;0.8216436;0.0791910;0.0180056
4500;0.9308637;0.1006650;0.0180360
4600;1.0000000;0.1360232;0.0218683
4700;0.9802917;0.2571178;0.0299132
4800;0.9275882;0.3809050;0.0339620
4900;0.7807393;0.4251800;0.0401877
5000;0.6143757;0.6113000;0.0430846
5100;0.4338580;0.7933000;0.0625152
5200;0.2491595;0.9033850;0.1111756
5300;0.1594246;1.0000000;0.1419566
5400;0.0947855;0.9064100;0.0849897
5500;0.0567221;0.8807233;0.0478130
5600;0.0273214;0.7437300;0.0521587
5700;0.0166126;0.6428150;0.1533735
5800;0.0114100;0.4597650;0.6503433
5900;0.0084778;0.3175050;1.0000000
6000;0.0048916;0.1819950;0.9353758
6100;0.0034230;0.0897230;0.8337379
6200;0.0029658;0.0485390;0.6858826
6300;0.0032853;0.0316045;0.5929939
6400;0.0037959;0.0229870;0.4600072
6500;0.0051010;0.0167670;0.3717754
6600;0.0050765;0.0112830;0.2205769
6700;0.0032660;0.0088190;0.1200198
6800;0.0011294;0.0046771;0.0371512
6900;0.0005127;0.0016871;0.0126072
7000;0.0002948;0.0007490;0.0037169
7100;0.0001017;0.0003077;0.0012105
7200;0.0000616;0.0001488;0.0005449
7210;0.0000000;0.0000000;0.0000000
